Date/Time,Mouse Position
2023-06-17 20:46:25.270998,"(1182, 540)"
2023-06-17 20:46:25.293945,"(1180, 556)"
2023-06-17 20:46:25.317873,"(1180, 574)"
2023-06-17 20:46:25.340811,"(1182, 584)"
2023-06-17 20:46:25.364747,"(1183, 595)"
2023-06-17 20:46:25.388687,"(1183, 604)"
2023-06-17 20:46:25.411622,"(1179, 616)"
2023-06-17 20:46:25.435558,"(1172, 647)"
2023-06-17 20:46:25.457499,"(1164, 675)"
2023-06-17 20:46:25.481435,"(1162, 687)"
2023-06-17 20:46:25.504417,"(1160, 700)"
2023-06-17 20:46:25.526315,"(1160, 705)"
2023-06-17 20:46:25.554240,"(1159, 708)"
2023-06-17 20:46:25.577179,"(1159, 709)"
2023-06-17 20:46:25.599121,"(1158, 709)"
2023-06-17 20:46:25.620064,"(1158, 710)"
2023-06-17 20:46:25.641008,"(1158, 716)"
2023-06-17 20:46:25.662949,"(1156, 725)"
2023-06-17 20:46:25.683893,"(1156, 729)"
2023-06-17 20:46:25.707830,"(1156, 732)"
2023-06-17 20:46:25.813201,"(1156, 731)"
2023-06-17 20:46:25.834145,"(1155, 729)"
2023-06-17 20:46:25.856086,"(1154, 728)"
2023-06-17 20:46:25.877063,"(1154, 727)"
2023-06-17 20:46:25.897972,"(1153, 727)"
2023-06-17 20:46:25.918951,"(1153, 726)"
2023-06-17 20:46:25.980783,"(1153, 725)"
2023-06-17 20:46:42.524165,"(1157, 721)"
2023-06-17 20:46:42.545106,"(1176, 703)"
2023-06-17 20:46:42.565054,"(1185, 687)"
2023-06-17 20:46:42.586995,"(1205, 656)"
2023-06-17 20:46:42.607939,"(1225, 626)"
2023-06-17 20:46:42.628882,"(1239, 597)"
2023-06-17 20:46:42.649827,"(1250, 526)"
2023-06-17 20:46:42.670773,"(1254, 496)"
2023-06-17 20:46:42.691714,"(1267, 447)"
2023-06-17 20:46:42.712659,"(1273, 423)"
2023-06-17 20:46:42.733602,"(1280, 397)"
2023-06-17 20:46:42.754547,"(1285, 380)"
2023-06-17 20:46:42.775458,"(1286, 370)"
2023-06-17 20:46:42.796402,"(1289, 361)"
2023-06-17 20:46:42.798431,"(1293, 352)"
2023-06-17 20:46:42.819375,"(1298, 340)"
2023-06-17 20:46:42.839319,"(1305, 318)"
2023-06-17 20:46:42.860264,"(1306, 292)"
2023-06-17 20:46:42.881175,"(1306, 249)"
2023-06-17 20:46:42.902118,"(1306, 220)"
2023-06-17 20:46:42.923061,"(1305, 187)"
2023-06-17 20:46:42.944320,"(1304, 172)"
2023-06-17 20:46:42.965821,"(1301, 159)"
2023-06-17 20:46:42.986759,"(1299, 154)"
2023-06-17 20:46:43.006707,"(1299, 148)"
2023-06-17 20:46:43.027651,"(1299, 142)"
2023-06-17 20:46:43.048595,"(1301, 138)"
2023-06-17 20:46:43.068541,"(1304, 131)"
2023-06-17 20:46:43.089485,"(1306, 128)"
2023-06-17 20:46:43.109432,"(1306, 124)"
2023-06-17 20:46:43.130376,"(1306, 123)"
