Time,Mouse Position
2023-05-20 22:33:08.981016,"(1180, 702)"
2023-05-20 22:33:11.920595,"(378, 465)"
2023-05-20 22:33:17.473368,"(1205, 258)"
2023-05-20 22:33:17.953747,"(1205, 257)"
2023-05-20 22:33:52.661675,"(1157, 730)"
2023-05-20 22:34:35.191749,"(1147, 720)"
2023-05-20 22:34:37.669216,"(1148, 719)"
2023-05-20 22:34:39.770313,"(1197, 354)"
2023-05-20 22:34:39.954565,"(1197, 355)"
2023-05-20 22:34:40.137063,"(1197, 355)"
2023-05-20 22:34:40.331584,"(1196, 356)"
2023-05-20 22:34:40.493381,"(1197, 356)"
2023-05-20 22:34:40.678884,"(1197, 356)"
2023-05-20 22:34:40.840418,"(1199, 356)"
2023-05-20 22:34:42.055141,"(1143, 730)"
2023-05-20 22:34:51.920713,"(1194, 488)"
2023-05-20 22:34:52.175038,"(1195, 488)"
2023-05-20 22:34:52.542528,"(1195, 489)"
2023-05-20 22:34:53.495029,"(1211, 614)"
2023-05-20 22:34:53.785260,"(1211, 614)"
2023-05-20 22:34:54.092604,"(1211, 614)"
2023-05-20 22:34:54.389324,"(1211, 614)"
2023-05-20 22:34:56.155384,"(1174, 713)"
2023-05-20 22:35:00.754540,"(1196, 125)"
2023-05-20 22:35:01.130372,"(1196, 126)"
2023-05-20 22:35:01.941066,"(1208, 260)"
2023-05-20 22:35:02.327530,"(1204, 251)"
2023-05-20 22:35:03.357776,"(1207, 386)"
2023-05-20 22:35:04.910114,"(888, 380)"
2023-05-20 22:35:05.877040,"(1208, 488)"
2023-05-20 22:35:06.351712,"(1208, 488)"
2023-05-20 22:35:06.993999,"(1200, 639)"
2023-05-20 22:35:07.467475,"(1199, 632)"
2023-05-20 22:35:08.219345,"(1187, 709)"
2023-05-20 22:35:10.641060,"(1208, 608)"
2023-05-20 22:35:11.436099,"(1203, 511)"
2023-05-20 22:35:12.535871,"(1196, 714)"
2023-05-20 22:35:42.760011,"(1195, 362)"
2023-05-20 22:35:43.203605,"(1195, 363)"
2023-05-20 22:35:43.676303,"(1195, 363)"
2023-05-20 22:35:44.049356,"(1195, 363)"
2023-05-20 22:35:46.176232,"(1149, 728)"
2023-05-20 22:35:48.096277,"(1196, 477)"
2023-05-20 22:35:48.410657,"(1196, 478)"
2023-05-20 22:35:48.690392,"(1197, 478)"
2023-05-20 22:35:49.129404,"(1198, 479)"
2023-05-20 22:35:51.220792,"(1207, 484)"
2023-05-20 22:35:52.658211,"(1205, 125)"
2023-05-20 22:35:53.053186,"(1205, 126)"
